T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
Chogath,Nidalee,Brand,Jinx,Pantheon,Shen,Volibear,Orianna,Ashe,Milio,11821
Renekton,Shyvana,Galio,Kalista,Velkoz,Chogath,Elise,Brand,Lucian,Ashe,-7376
Garen,Ivern,Chogath,Draven,Blitzcrank,Volibear,Kayn,Malzahar,Vayne,Nautilus,14317
Renekton,Belveth,Syndra,Aphelios,Morgana,Ornn,Elise,Smolder,Xayah,Nautilus,-10965
Jax,Vi,Lux,Brand,Nami,Riven,Evelynn,Ahri,Samira,Nautilus,9979
Galio,Kindred,Seraphine,Lucian,Milio,Rumble,Nocturne,Anivia,Ezreal,Sona,-10704
Teemo,Vi,Pantheon,Ashe,Soraka,Skarner,Elise,Lux,Jinx,Pyke,4986
Urgot,Lillia,Fizz,MissFortune,Zyra,TwistedFate,Nocturne,Lux,Ezreal,Sona,5301
Trundle,Nunu,AurelionSol,Vayne,Blitzcrank,Volibear,Kindred,Lux,Senna,TahmKench,-5645
Trundle,Sejuani,Sylas,MissFortune,Zyra,Cassiopeia,Nunu,AurelionSol,Draven,Thresh,3717
JarvanIV,Kayn,Ryze,Twitch,Orianna,Illaoi,Evelynn,Lux,Caitlyn,Leona,-7355
Garen,Belveth,Lux,Jhin,Swain,Mordekaiser,Nasus,Akali,Kindred,Amumu,7545
Nasus,Viego,Lux,Jhin,Blitzcrank,Gangplank,Brand,Kassadin,Smolder,Swain,-16
Trundle,XinZhao,Malzahar,Draven,Nautilus,Akali,Briar,Corki,Varus,Swain,-5379
Garen,Graves,Yasuo,Twitch,Bard,Renekton,XinZhao,Galio,Kaisa,Brand,-4224
Garen,MasterYi,Syndra,Ashe,Yuumi,Shen,Kayn,Heimerdinger,Aphelios,Bard,-8684
Yone,Warwick,Swain,MissFortune,Leona,Renekton,Briar,Malzahar,Ezreal,Bard,-11132
Riven,Amumu,Viktor,Lucian,Bard,Camille,LeeSin,Ekko,Vayne,Taric,-6890
Ornn,Rengar,Malzahar,Jhin,Bard,Mordekaiser,LeeSin,Syndra,Samira,Pyke,-7987
Malphite,Evelynn,Ekko,Jhin,Blitzcrank,Olaf,Trundle,Neeko,Ezreal,Bard,-8374
Riven,Belveth,Swain,Jhin,Bard,Urgot,JarvanIV,Vladimir,MissFortune,Morgana,3766
Renekton,Kayn,Ryze,Jhin,Thresh,Riven,Rengar,Akali,Vayne,Bard,40
Rumble,Karthus,Qiyana,Caitlyn,Bard,Trundle,Jax,Vladimir,Twitch,Nami,-14764
Riven,Hecarim,Malzahar,Jinx,Bard,Tryndamere,Lillia,Taliyah,Jhin,Senna,1077
Aatrox,Hecarim,Yone,Jinx,Zyra,Riven,Rengar,Annie,Samira,Bard,11996
Yone,Lillia,Veigar,Yasuo,Leona,Riven,Briar,Lux,Tristana,Bard,-11234
Gnar,Shaco,Azir,Morgana,Bard,Tryndamere,Caitlyn,Xerath,Twitch,Pyke,-9751
Yone,Ekko,Naafiri,MissFortune,Morgana,Urgot,Briar,Annie,Kaisa,Bard,-12986
Ornn,DrMundo,Heimerdinger,Samira,Neeko,Riven,Warwick,Zoe,Teemo,Bard,1366
Riven,Shaco,Zoe,MissFortune,Bard,Jax,Viego,Hwei,Twitch,Nami,-3000
Darius,Nunu,Ahri,MissFortune,Morgana,Kaisa,Warwick,Akali,Lucian,Bard,6431
Camille,FiddleSticks,Katarina,Ashe,Yuumi,Urgot,Vi,Sylas,Jinx,Bard,-6927
Riven,Kayn,TwistedFate,Caitlyn,Bard,Trundle,Nocturne,Veigar,Varus,Soraka,8941
Chogath,Shaco,Talon,Tristana,Bard,Darius,Kayn,Kassadin,Kaisa,Ahri,2123
Riven,Warwick,Veigar,Samira,Bard,Thresh,MasterYi,Ekko,Kaisa,Aatrox,-9858
Garen,Vi,Shyvana,Lucian,Morgana,Ornn,Evelynn,Yasuo,Ashe,Bard,19535
Illaoi,Viego,Veigar,Jinx,Maokai,Riven,Shaco,Yone,KogMaw,Bard,-2011
Olaf,Rammus,Ekko,Ashe,Morgana,Rengar,XinZhao,Bard,Varus,Thresh,-11173
Riven,Rammus,Azir,Katarina,Xerath,Urgot,Kayn,Karma,Zilean,Morgana,-8386
Riven,Warwick,Fizz,Jhin,Bard,Garen,Vi,Yasuo,Jinx,Shaco,-6936
Illaoi,Zac,Neeko,Varus,Bard,Yorick,LeeSin,Vex,MissFortune,Teemo,8413
Aatrox,Evelynn,Malzahar,Jinx,Janna,Riven,XinZhao,Akali,Samira,Bard,-2102
Darius,Nidalee,Qiyana,Kaisa,Bard,Vayne,Amumu,Akali,Samira,Brand,-3912
Nasus,MonkeyKing,Kayle,Caitlyn,Nami,Teemo,Shaco,Katarina,Ezreal,Bard,4851
