T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Jax,Sejuani,Lux,Kaisa,Sona,Darius,JarvanIV,Orianna,Ashe,Velkoz,47.95,41.56,59.01,46.48,50,-13266,200
Aatrox,Poppy,Ahri,Jinx,Renata,Urgot,Viego,Gragas,Caitlyn,Lux,50.44,48.41,48.32,51.09,47.92,5512,100
Sion,Kindred,Annie,Jinx,Leona,Trundle,Amumu,Vex,Vayne,Pyke,42.48,46.0,46.59,54.41,49.91,2781,100
Camille,Shaco,Akali,Caitlyn,Volibear,Yone,Kayn,Taliyah,Ezreal,Soraka,58.58,51.64,50.84,52.76,50,4538,100
Mordekaiser,Amumu,Yasuo,Xayah,Brand,KSante,Khazix,Anivia,Caitlyn,Nautilus,58.51,50,50,49.15,47.43,2377,100
Mordekaiser,Viego,Vladimir,Ezreal,Pyke,Gwen,Hecarim,Yasuo,Draven,Nautilus,48.11,50.28,48.47,47.91,50.32,5190,100
Shen,LeeSin,Lissandra,Lucian,Janna,Rumble,Skarner,Zed,Caitlyn,Milio,55.8,45.31,47.65,47.78,48.99,7559,100
Olaf,Jax,AurelionSol,Jinx,Pyke,Zac,Viego,Ziggs,Jhin,Brand,45.9,49.62,45.68,51.13,54.84,14837,100
Renekton,Graves,Katarina,Ashe,Pyke,Fiora,Ivern,Akali,Lucian,Alistar,52.49,41.98,45.83,54.51,49.59,6761,100
Aatrox,MasterYi,Malzahar,Draven,Shaco,Yasuo,Karthus,Katarina,Jinx,Velkoz,50.35,49.73,50.52,45.07,50,11299,100
Jax,Viego,Yasuo,Kalista,Alistar,Kennen,Skarner,Taliyah,Senna,Janna,45.56,48.57,50,50,45.78,56,100
Urgot,Jax,Seraphine,Jinx,Rakan,Pantheon,LeeSin,Hwei,MissFortune,Caitlyn,55.45,54.49,51.26,52.57,50,10388,100
Sion,LeeSin,Viktor,Jhin,Morgana,Darius,Viego,Seraphine,Caitlyn,Blitzcrank,46.67,48.98,50,51.45,47.93,7620,100
Fiora,Nunu,Jayce,Lucian,Brand,Jax,FiddleSticks,Qiyana,Ezreal,Morgana,48.84,50,50.44,52.36,58.43,3964,100
Trundle,FiddleSticks,Karthus,Ashe,Pyke,Nasus,Sion,Syndra,Jinx,Brand,48.54,50,47.5,49.97,54.84,13532,100
